name,appid,in_steam,type,steam_name,has_dlc,dlc,is_coming_soon,release_date
Goosebumps: The Game,361360.0,True,game,Goosebumps: The Game,False,,False,2015-10-13
Graveyard Keeper,599140.0,True,game,Graveyard Keeper,True,"[919050, 919051, 1163770, 1430990, 1788370]",False,2018-08-15
Pathfinder: Wrath of the Righteous - Enhanced Edition,1184370.0,True,game,Pathfinder: Wrath of the Righteous - Enhanced Edition,True,"[2145870, 1694801, 2564570, 1694800, 2266770, 1889980, 1889981, 2064590, 1816820, 1816821, 1849470, 1882540]",False,2021-09-02
Freedom Fighters,1347780.0,True,game,Freedom Fighters,True,[1402630],False,2020-09-21
BIOMUTANT,597820.0,True,game,BIOMUTANT,True,"[1279750, 1549560]",False,2021-05-25
Black Mirror II,286460.0,True,game,Black Mirror II,False,,False,2014-04-02
Starship Troopers - Terran Command,1202130.0,True,game,Starship Troopers: Terran Command,True,[2139990],False,2022-06-16
Ori and the Blind Forest - Definitive Edition,346110.0,True,game,ARK: Survival Evolved,True,"[1887560, 1691800, 1113410, 1100810, 642250, 887380, 708770, 512540, 508150, 473850, 1270830, 1646550, 1646690, 1646700, 1646720]",False,2017-08-27
Back to Bed,308040.0,True,game,Back to Bed,False,,False,2014-08-06
The Last of Us™ Part I,393380.0,True,game,Squad,True,"[453400, 2522000, 2584870, 2598380, 2222341, 2222342, 2417351, 2417350, 2222340, 1123920]",False,2020-09-23
Alekhine's Gun,406720.0,True,game,Alekhine's Gun,False,,False,2016-03-11
Roll'd,461010.0,True,game,Roll'd,False,,False,2016-04-14
Hearts of Iron IV,394360.0,True,game,Hearts of Iron IV,True,"[2183930, 1880650, 1877010, 1348661, 1579991, 1579992, 1086480, 1086481, 1348660, 1158100, 815460, 702350, 584140, 530760, 584141, 461800, 642010, 1317230, 1317250]",False,2016-06-06
TinyShot,1278760.0,True,game,TinyShot,True,[1552910],False,2021-02-19
Apex Legends: 4350 Coins,1172470.0,True,game,Apex Legends™,False,,False,2020-11-04
Painkiller Hell & Damnation: The Clock Strikes Meat Night - DLC,2192770.0,True,game,Taddle Quest,False,,True,2024-01-23
Wickland,321260.0,True,game,Wickland,False,,False,2015-02-06
Mr Blaster,618490.0,True,game,Mr Blaster,False,,False,2017-07-14
UNCHARTED™: LEGACY OF THIEVES COLLECTION,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Elypse,1725340.0,True,game,Elypse,False,,False,2023-05-17
DARK SOULS™ II: Scholar of The First Sin,335300.0,True,game,DARK SOULS™ II: Scholar of the First Sin,False,,False,2015-04-01
NARUTO TO BORUTO: SHINOBI STRIKER,633230.0,True,game,NARUTO TO BORUTO: SHINOBI STRIKER,True,"[2321102, 2321111, 2321100, 2321101, 2321110, 2321091, 2321094, 2321096, 2321098, 2321093, 2321095, 2321097, 1983245, 888858, 1983241, 1983242, 1983243, 1983244, 1090165, 1090167, 1090180, 1090181, 1090182, 1090183, 1983240, 1090164, 1087450, 1087451, 1090130, 1090140, 1090141, 1087429, 1087420, 1087421, 1087422, 1087423, 1087424, 1087425, 1087426, 1087427, 1087428, 888872, 888850, 888851, 888852, 888853, 888855, 888857, 888856, 888854, 888859, 888870, 888871, 915390, 2185750]",False,2023-06-29
Party Hard 2,572430.0,True,game,Party Hard 2,True,"[964370, 1029090, 1192600]",False,2018-10-25
SIFU (Epic),1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
"Warhammer 40,000: Gladius - Craftworld Aeldari DLC - DLC",1425820.0,True,dlc,"Warhammer 40,000: Gladius - Craftworld Aeldari",False,,False,2020-11-12
Resident Evil 4: Ultimate HD Edition,1205240.0,True,game,Tentacle Girl,True,[1205290],False,2020-02-14
Surviving Mars: Future Contemporary Cosmetic Pack - DLC,1658001.0,True,dlc,Surviving Mars: Future Contemporary Cosmetic Pack,False,,False,2022-04-28
The Dolls: Reborn,473670.0,True,game,The Dolls: Reborn,False,,False,2016-05-25
Gloomhaven,780290.0,True,game,Gloomhaven,True,"[1809490, 1958560, 2584170]",False,2021-10-20
MechaNika,384680.0,True,game,MechaNika,True,[453260],False,2015-07-16
Dream Cycle,1105590.0,True,game,Dream Cycle,False,,False,2022-08-09
Dead Cells: Fatal Falls - DLC,1451460.0,True,dlc,Dead Cells: Fatal Falls,False,,False,2021-01-26
Amnesia™: Memories,359390.0,True,game,Amnesia™: Memories,False,,False,2015-08-25
Cat on a Diet,447890.0,True,game,Cat on a Diet,False,,False,2016-02-29
Urban Trial Playground,988240.0,True,game,Urban Trial Playground,False,,False,2019-04-05
THE SIMS 4: CITY LIVING - DLC,282070.0,True,game,This War of Mine,True,"[750031, 750030, 974610, 1125630, 481090, 348040, 354350]",False,2014-11-14
Goodbye Deponia,241910.0,True,game,Goodbye Deponia,True,[476940],False,2013-10-17
Dark Souls Remastered,570940.0,True,game,DARK SOULS™: REMASTERED,False,,False,2018-05-23
Cities: Skylines - Financial Districts Bundle - DLC,28814.0,True,,,,,,null
Scarlet Nexus - Deluxe Edition,20566.0,True,,,,,,null
Phoenix Point: Year One Edition,282070.0,True,game,This War of Mine,True,"[750031, 750030, 974610, 1125630, 481090, 348040, 354350]",False,2014-11-14
The Walking Dead: The Final Season,866800.0,True,game,The Walking Dead: The Final Season,False,,False,2018-08-13
DARK SOULS™ III: Deluxe Edition,94174.0,True,,,,,,null
Kingdom Come: Deliverance,1059340.0,True,video,Kingdom Come: Deliverance – Festival Suite,False,,False,2019-04-04
No Man's Sky,275850.0,True,game,No Man's Sky 无人深空,False,,False,2016-08-12
Gravity Field,1425250.0,True,game,Gravity Field,False,,False,2023-02-22
Cities: Skylines - Snowfall - DLC,420610.0,True,dlc,Cities: Skylines - Snowfall,False,,False,2016-02-18
God of War,914120.0,True,dlc,Shadow Unit - GOD OF WAR EDITION,False,,True,null
Cities: Skylines - Mass Transit - DLC,547502.0,True,dlc,Cities: Skylines - Mass Transit,False,,False,2017-05-18
8infinity,526540.0,True,game,8infinity,False,,False,2016-09-23
Metro Simulator,1787480.0,True,game,Metro Simulator 2,False,,False,2023-06-14
Crusader Kings III: Friends & Foes - DLC,2114760.0,True,dlc,Crusader Kings III: Friends & Foes,False,,False,2022-09-08
Nevaeh,1222090.0,True,game,Nevaeh,True,[1231870],False,2020-09-17
