appid,pos_reviews,neg_reviews,total_reviews,review_score_desc
2062120,0,0,0,No user reviews
1220370,23,5,28,Positive
1631380,8,11,19,Mixed
1259360,279,273,552,Mixed
34077,0,0,0,No user reviews
692930,47,19,66,Mostly Positive
1552550,823,64,887,Very Positive
2192770,0,0,0,No user reviews
1202061,20,19,39,Mixed
2192770,0,0,0,No user reviews
1859470,446,30,476,Very Positive
381716,0,0,0,No user reviews
1247570,13,16,29,Mixed
15986,0,0,0,No user reviews
1205450,4898,240,5138,Overwhelmingly Positive
315660,1226,328,1554,Mostly Positive
1421790,174,6,180,Very Positive
401680,2116,142,2258,Very Positive
338130,64,31,95,Mixed
1892570,16,1,17,Positive
383270,548,39,587,Very Positive
1227700,1142,220,1362,Very Positive
21763,0,0,0,No user reviews
234080,1974,733,2707,Mostly Positive
3838,7,2,9,9 user reviews
1205240,119,15,134,Very Positive
842020,8,1,9,9 user reviews
537800,4842,631,5473,Very Positive
671510,1487,713,2200,Mixed
1227650,1083,34,1117,Overwhelmingly Positive
322190,1408,58,1466,Overwhelmingly Positive
1889980,69,119,188,Mostly Negative
1601350,24,23,47,Mixed
1431780,91,2,93,Very Positive
34077,0,0,0,No user reviews
340320,89,15,104,Very Positive
755500,1288,338,1626,Mostly Positive
616191,50,12,62,Very Positive
499460,113,35,148,Mostly Positive
1195360,50,15,65,Mostly Positive
1636660,30,15,45,Mixed
1578650,3290,187,3477,Very Positive
249650,696,484,1180,Mixed
606680,193,17,210,Very Positive
1907720,119,29,148,Very Positive
1062040,99,25,124,Mostly Positive
966670,49,12,61,Very Positive
102623,23,5,28,Positive
1186640,1719,117,1836,Very Positive
464920,7663,1444,9107,Very Positive
15892,0,0,0,No user reviews
602320,870,91,961,Very Positive
311260,1471,891,2362,Mixed
322500,13021,1435,14456,Very Positive
40970,4739,134,4873,Overwhelmingly Positive
1951230,339,4,343,Very Positive
1205240,119,15,134,Very Positive
2098230,3,0,3,3 user reviews
716640,248,89,337,Mostly Positive
2223660,158,135,293,Mixed
1433560,122,49,171,Mostly Positive
271850,57,51,108,Mixed
987840,1988,258,2246,Very Positive
31710,0,0,0,No user reviews
1992290,16,3,19,Positive
1094410,1,0,1,1 user reviews
688420,3470,231,3701,Very Positive
1055240,3,4,7,7 user reviews
1205240,119,15,134,Very Positive
571720,89,35,124,Mostly Positive
1016930,77,45,122,Mixed
1337010,1955,39,1994,Overwhelmingly Positive
1889981,140,80,220,Mixed
492720,7164,1083,8247,Very Positive
1205240,119,15,134,Very Positive
495140,1222,382,1604,Mostly Positive
1051410,52,8,60,Very Positive
925570,157,100,257,Mixed
323850,2706,445,3151,Very Positive
2109315,0,0,0,No user reviews
1432100,224,22,246,Very Positive
1279630,425,126,551,Mostly Positive
259340,66,32,98,Mixed
2154010,17,20,37,Mixed
402060,108,48,156,Mixed
960170,2625,400,3025,Very Positive
775500,3912,540,4452,Very Positive
964570,209,46,255,Very Positive
25890,2026,578,2604,Mostly Positive
41008,0,0,0,No user reviews
261030,10877,518,11395,Overwhelmingly Positive
967390,148,82,230,Mixed
1172470,805,128,933,Very Positive
1793051,41,33,74,Mixed
702110,106,9,115,Very Positive
243200,750,92,842,Very Positive
1154780,23,12,35,Mixed
222480,2192,410,2602,Very Positive
1072040,1198,246,1444,Very Positive
405050,4,7,11,Mostly Negative
815460,479,412,891,Mixed
1037910,37,15,52,Mostly Positive
1933390,853,53,906,Very Positive
1546060,5,1,6,6 user reviews
1282590,2127,613,2740,Mostly Positive
983970,1738,157,1895,Very Positive
1205240,119,15,134,Very Positive
939100,439,244,683,Mixed
70503,0,0,0,No user reviews
1164250,264,75,339,Mostly Positive
244850,54679,6223,60902,Very Positive
286810,94,49,143,Mixed
406970,378,190,568,Mixed
1652890,125,6,131,Very Positive
802450,62,10,72,Very Positive
1172470,805,128,933,Very Positive
801630,1918,110,2028,Very Positive
31648,0,0,0,No user reviews
2062120,0,0,0,No user reviews
259170,111,182,293,Mostly Negative
966330,1180,297,1477,Mostly Positive
1033890,415,513,928,Mixed
25014,0,0,0,No user reviews
760730,48,25,73,Mixed
39650,170,87,257,Mixed
625050,66,85,151,Mixed
305500,22,17,39,Mixed
1936590,26,13,39,Mixed
1450900,506,63,569,Very Positive
1351260,12,9,21,Mixed
207020,118,26,144,Very Positive
756010,154,123,277,Mixed
730430,99,49,148,Mixed
427100,791,408,1199,Mixed
748020,9,2,11,Positive
934780,406,144,550,Mostly Positive
1205240,119,15,134,Very Positive
1154040,435,56,491,Very Positive
496810,425,77,502,Very Positive
1410640,766,109,875,Very Positive
1288320,2243,579,2822,Mostly Positive
533330,15,17,32,Mixed
1317250,82,37,119,Mixed
2378500,2001,90,2091,Overwhelmingly Positive
1053710,214,33,247,Very Positive
259340,66,32,98,Mixed
1143820,8,4,12,Mixed
1592110,291,96,387,Mostly Positive
916250,33,5,38,Positive
231020,20,14,34,Mixed
2055140,91,9,100,Very Positive
692100,248,61,309,Very Positive
939850,2078,762,2840,Mostly Positive
1493470,19,29,48,Mostly Negative
1587540,377,155,532,Mostly Positive
2192770,0,0,0,No user reviews
1205240,119,15,134,Very Positive
593280,2500,125,2625,Overwhelmingly Positive
929490,0,0,0,No user reviews
497700,54,11,65,Very Positive
1245430,1226,77,1303,Very Positive
1088640,79,44,123,Mixed
10464,0,0,0,No user reviews
2192770,0,0,0,No user reviews
1948120,32,7,39,Positive
692890,5719,244,5963,Overwhelmingly Positive
1913210,543,262,805,Mixed
893720,136,17,153,Very Positive
918950,23,6,29,Mostly Positive
706020,307,175,482,Mixed
287700,31029,2999,34028,Very Positive
254080,57,45,102,Mixed
1205240,119,15,134,Very Positive
1556870,286,75,361,Mostly Positive
1191900,470,43,513,Very Positive
1205240,119,15,134,Very Positive
1205240,119,15,134,Very Positive
2148903,17,5,22,Mostly Positive
1361510,4743,192,4935,Overwhelmingly Positive
2186250,14,5,19,Mostly Positive
315660,1226,328,1554,Mostly Positive
2192770,0,0,0,No user reviews
2261870,13,0,13,Positive
25830,906,83,989,Very Positive
301200,124,26,150,Very Positive
993790,285,26,311,Very Positive
543870,685,82,767,Very Positive
1205240,119,15,134,Very Positive
201790,5280,415,5695,Very Positive
522220,7,4,11,Mixed
598500,3,4,7,7 user reviews
312840,1173,396,1569,Mostly Positive
1952840,14,3,17,Positive
1262060,279,30,309,Very Positive
753230,60,24,84,Mostly Positive
1045290,3,1,4,4 user reviews
260730,570,93,663,Very Positive
690040,4050,710,4760,Very Positive
1620720,63,7,70,Very Positive
1748230,61,6,67,Very Positive
1071200,119,77,196,Mixed
1321680,517,165,682,Mostly Positive
616950,38,4,42,Positive
1089090,3265,201,3466,Very Positive
1812960,27,4,31,Positive
581300,58,65,123,Mixed
514460,19,27,46,Mixed
3130,166,45,211,Mostly Positive
2342310,16,6,22,Mostly Positive
721340,72,35,107,Mixed
2155770,147,39,186,Mostly Positive
225640,732,241,973,Mostly Positive
1001150,19,3,22,Positive
864160,201,78,279,Mostly Positive
523210,1031,137,1168,Very Positive
1218220,0,0,0,No user reviews
1683100,76,23,99,Mostly Positive
339840,17,14,31,Mixed
2192770,0,0,0,No user reviews
359350,242,28,270,Very Positive
338163,187,175,362,Mixed
2192770,0,0,0,No user reviews
12320,786,224,1010,Mostly Positive
1291010,1414,149,1563,Very Positive
736820,1124,342,1466,Mostly Positive
638230,8156,631,8787,Very Positive
1323470,239,51,290,Very Positive
2144482,4,1,5,5 user reviews
897670,414,53,467,Very Positive
1535780,22,9,31,Mostly Positive
39550,201,124,325,Mixed
448370,717,59,776,Very Positive
1094720,40,24,64,Mixed
1377570,0,0,0,No user reviews
1205240,119,15,134,Very Positive
1856190,20,13,33,Mixed
539470,1632,324,1956,Very Positive
369180,18,12,30,Mixed
1348690,72,12,84,Very Positive
1449230,46,16,62,Mostly Positive
410900,6016,460,6476,Very Positive
952892,24,5,29,Positive
1268420,30,4,34,Positive
1102190,10491,331,10822,Overwhelmingly Positive
625350,2,4,6,6 user reviews
375460,67,155,222,Mostly Negative
