name,appid
ARMORED CORE™ VI FIRES OF RUBICON™ - Deluxe Edition,1888160.0
No Straight Roads: Encore Edition,1726190.0
Silence,314790.0
Violett: Soundtrack Edition,257830.0
Kapital: Sparks of Revolution,1399700.0
"Warhammer 40,000: Mechancus - Heretek - DLC",16236.0
Sacred 3 Gold,12320.0
Chaos on Deponia,220740.0
Painkiller Complete Pack,3270.0
World War Z: Aftermath,2243210.0
Dream Pinball 3D,215790.0
Vlad Circus: Descend Into Madness,1702430.0
DARK SOULS™ III: Season Pass - DLC,442010.0
Wolfstride,1331210.0
Ni No Kuni II: Revenant Kingdom,589360.0
The Wolf Among Us,250320.0
Dragon Star Varnir - Deluxe Pack - DLC,1114040.0
Mari and Bayu - The Road Home,1725350.0
Darksiders III - Deluxe Edition,2378500.0
Totally Reliable Delivery Service - Dress Code - DLC,1528442.0
Surviving the Aftermath: New Alliances - DLC,1803780.0
NORCO,1221250.0
One Piece: Unlimited World Red - Deluxe Edition,571720.0
Check vs Mate,637.0
Hogwarts Legacy,2268220.0
Park Beyond,1368130.0
ELDEN RING - Deluxe Edition,401710.0
Letters - a written adventure,1033080.0
Telling Lies,762830.0
Narcosis,366870.0
Cris Tales,1079830.0
Crusader Kings III: Fate of Iberia - DLC,1303184.0
Mastema: Out of Hell,595550.0
Trash Sailors: Co-Op Trash Raft Simulator,1132030.0
Hard Truck Apocalypse: Arcade / Ex Machina: Arcade,286830.0
Kitaria Fables,1356280.0
Tropico 6: Caribbean Skies - DLC,1449310.0
House Flipper,613100.0
This is the Police,443810.0
Vambrace: Cold Soul,904380.0
Shadow Gambit: The Cursed Crew,1545560.0
Stellaris: Distant Stars Story Pack - DLC,844810.0
The Interactive Adventures of Dog Mendon?a & Pizzaboy,330420.0
Injustice 2 Legendary Edition,192166.0
Twelve Minutes,1097200.0
SlamIt Pinball Big Score,12430.0
Soul of Giga,1052970.0
Tropico 6 El-Prez Edition,881960.0
Cities: Skylines - Deluxe Edition,346791.0
This Is the Police 2,785740.0
Iratus: Lord of the Dead,807120.0
Tropico 5,245620.0
Vane,1063310.0
House Flipper - Luxury - DLC,1021110.0
Okami HD,2192770.0
Super Animal Royale Season 7 Starter Pack - DLC,2524160.0
For The People,1146600.0
Turmoil,361280.0
Dark Souls II: Scholar of the First Sin,335300.0
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,969990.0
T.E.C. 3001,1692280.0
SpellForce 3 Reforced,311290.0
Gothic III: Forsaken Gods Enhanced Edition,65600.0
Pets No More,1581420.0
Crazy Pixel Streaker,393460.0
FOR HONOR - Kyoshin Hero - DLC,2145870.0
Darksiders III,606280.0
I Am Fish,1472560.0
Inua - A Story in Ice and Time,1479890.0
Hearts of Iron IV: Waking the Tiger - DLC,702350.0
GetsuFumaDen: Undying Moon,1323470.0
Street Fighter V: Champion Edition,1172540.0
The Crew 2: Special Edition,11342.0
Helheim Hassle,1095120.0
Quell,344480.0
Aces of the Luftwaffe - Squadron,859350.0
Cities: Skylines - Content Creator Pack: Map Pack - DLC,1726382.0
ONE PUNCH MAN: A HERO NOBODY KNOWS - Deluxe Edition,991560.0
Bus World,1193090.0
Acanthoceras,2065560.0
Stellaris: Plantoids Species Pack - DLC,498870.0
Delta Force,32620.0
Cities: Skylines - Content Creator Pack: Seaside Resorts - DLC,1992291.0
Gorky 17,253920.0
NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,234670.0
Dead Synchronicity,358870.0
Gothic II: Gold Edition,39510.0
Spellforce - Platinum Edition,39540.0
Overture,343100.0
The Darkside Detective,368390.0
Edna & Harvey: The Breakout - Anniversary Edition,959000.0
GUILTY GEAR Xrd -SIGN-,376300.0
Bus Driver Simulator - Hungarian Legend - DLC,2192770.0
In Sound Mind,1119980.0
